layer,head,openness,switchiness,frac_closed,ch_lo_frac,ch_hi_frac,min_ch_mean,n_ch_mean_lt_01
0,0,0.1823,0.0444,0.0349,0.3607,0.0009,0.05,14
0,1,0.2314,0.0529,0.0001,0.2209,0.0023,0.0491,7
0,2,0.1255,0.0386,0.3017,0.5842,0.0027,0.0491,30
0,3,0.1754,0.0547,0.0522,0.3862,0.0014,0.045,7
0,4,0.2594,0.0506,0.0,0.2792,0.0075,0.0281,12
0,5,0.1592,0.0361,0.0235,0.4097,0.0005,0.0528,6
0,6,0.1605,0.0314,0.0121,0.4707,0.0009,0.0303,32
0,7,0.1503,0.0276,0.0252,0.4799,0.0009,0.0338,36
0,8,0.1386,0.0281,0.0707,0.4868,0.0002,0.0267,32
0,9,0.163,0.0368,0.0086,0.3712,0.0008,0.0685,6
0,10,0.2052,0.0389,0.0,0.3115,0.0016,0.032,7
0,11,0.2608,0.0447,0.0,0.2155,0.0035,0.0657,5
0,12,0.2371,0.0371,0.0003,0.2287,0.0018,0.0753,5
0,13,0.1871,0.0592,0.0503,0.3899,0.0023,0.034,24
0,14,0.2511,0.0691,0.0097,0.1977,0.0024,0.0211,7
0,15,0.15,0.0359,0.0304,0.4808,0.001,0.0256,37
0,16,0.121,0.0325,0.3487,0.568,0.0009,0.0233,46
0,17,0.1203,0.0297,0.2088,0.5631,0.0005,0.0131,35
0,18,0.1475,0.045,0.1574,0.4372,0.0014,0.0163,8
0,19,0.1236,0.0274,0.1726,0.5453,0.0016,0.0203,31
0,20,0.1472,0.0353,0.0868,0.5061,0.0036,0.0213,24
0,21,0.1149,0.0491,0.4733,0.6358,0.0072,0.0076,48
0,22,0.1271,0.0438,0.2689,0.5262,0.003,0.0271,28
0,23,0.0937,0.0387,0.6248,0.7054,0.0011,0.0209,78
0,24,0.1454,0.0394,0.1428,0.4787,0.0016,0.0203,18
0,25,0.1716,0.0602,0.0946,0.3655,0.0005,0.0175,5
0,26,0.1349,0.0623,0.2714,0.4876,0.0005,0.0386,10
0,27,0.1313,0.0462,0.2921,0.5321,0.0006,0.0281,21
0,28,0.135,0.0527,0.278,0.5253,0.001,0.0342,31
0,29,0.1433,0.0555,0.1769,0.4309,0.0004,0.0556,8
0,30,0.0994,0.0269,0.5623,0.6842,0.0021,0.0008,82
0,31,0.1654,0.0421,0.0161,0.4363,0.0028,0.0567,27
1,0,0.1054,0.0249,0.4533,0.6176,0.0001,0.0225,64
1,1,0.318,0.1202,0.0419,0.2276,0.0066,0.031,11
1,2,0.3107,0.0713,0.0017,0.2205,0.0102,0.0133,9
1,3,0.1285,0.0784,0.5709,0.6557,0.0043,0.032,48
1,4,0.1533,0.0634,0.2116,0.5345,0.0025,0.0299,34
1,5,0.0767,0.0345,0.7941,0.7943,0.0005,0.0189,109
1,6,0.2672,0.0586,0.0,0.0735,0.0002,0.021,4
1,7,0.1019,0.03,0.557,0.7007,0.0009,0.0286,86
1,8,0.2097,0.08,0.0157,0.3673,0.0041,0.0451,10
1,9,0.2797,0.0542,0.0025,0.2768,0.0048,0.0319,13
1,10,0.1238,0.0453,0.3266,0.6093,0.0005,0.0278,55
1,11,0.1927,0.0593,0.0135,0.3909,0.0007,0.0516,31
1,12,0.0604,0.0249,0.925,0.8655,0.0009,0.0173,115
1,13,0.1805,0.0629,0.1031,0.4265,0.0013,0.0149,23
1,14,0.1622,0.0611,0.1246,0.5636,0.0036,0.0393,40
1,15,0.2077,0.0507,0.011,0.3216,0.0013,0.0148,21
1,16,0.1462,0.0374,0.0857,0.5688,0.0046,0.0452,45
1,17,0.14,0.0433,0.1638,0.5909,0.0072,0.0181,39
1,18,0.0735,0.039,0.8295,0.8175,0.001,0.0158,116
1,19,0.1811,0.0868,0.1031,0.4324,0.005,0.0306,20
1,20,0.0935,0.0476,0.6443,0.7461,0.0023,0.0238,90
1,21,0.0699,0.0491,0.8361,0.8559,0.0036,0.0183,120
1,22,0.1488,0.0764,0.3058,0.574,0.0035,0.0295,32
1,23,0.0743,0.0554,0.7827,0.8179,0.0017,0.0185,111
1,24,0.0921,0.0446,0.6274,0.7647,0.0025,0.0227,83
1,25,0.0965,0.039,0.7161,0.6817,0.0002,0.0132,74
1,26,0.0499,0.036,0.9303,0.9087,0.001,0.0182,124
1,27,0.1147,0.0671,0.5482,0.7092,0.0049,0.0129,74
1,28,0.0745,0.0253,0.8245,0.8489,0.0013,0.0137,116
1,29,0.1999,0.0453,0.0136,0.4396,0.0025,0.0065,37
1,30,0.121,0.0332,0.2705,0.6414,0.002,0.011,56
1,31,0.0712,0.0336,0.8072,0.8448,0.0023,0.0143,107
2,0,0.1702,0.0421,0.0455,0.4683,0.002,0.0291,38
2,1,0.088,0.0372,0.7732,0.7478,0.0002,0.0191,93
2,2,0.2064,0.0573,0.004,0.4092,0.0054,0.0276,31
2,3,0.0907,0.0413,0.6691,0.7268,0.0003,0.0229,89
2,4,0.1187,0.0417,0.3415,0.5762,0.0006,0.0396,51
2,5,0.083,0.0631,0.8138,0.7862,0.001,0.0248,102
2,6,0.2223,0.071,0.0153,0.4044,0.0031,0.0462,33
2,7,0.0798,0.0407,0.79,0.7735,0.0003,0.0207,102
2,8,0.1282,0.0326,0.1938,0.6043,0.0012,0.0256,69
2,9,0.1339,0.0307,0.0903,0.537,0.0007,0.0297,28
2,10,0.2308,0.0407,0.0094,0.3899,0.008,0.0237,28
2,11,0.1331,0.0463,0.2302,0.5229,0.0001,0.0394,25
2,12,0.1365,0.0335,0.1158,0.536,0.0009,0.0332,29
2,13,0.0739,0.0388,0.8613,0.8107,0.0005,0.0139,110
2,14,0.0766,0.0517,0.8669,0.8053,0.0,0.0255,111
2,15,0.1487,0.057,0.1684,0.516,0.0018,0.0423,24
2,16,0.1213,0.0315,0.2696,0.6151,0.0001,0.0141,64
2,17,0.209,0.0526,0.0013,0.1479,0.0001,0.0239,1
2,18,0.093,0.0356,0.6615,0.7402,0.0017,0.0404,81
2,19,0.1345,0.0494,0.2311,0.5278,0.0005,0.0261,19
2,20,0.1038,0.0511,0.6143,0.6713,0.0013,0.0557,55
2,21,0.1021,0.0664,0.6734,0.7322,0.0017,0.0317,64
2,22,0.1258,0.0346,0.2318,0.555,0.0003,0.0225,46
2,23,0.1041,0.0363,0.5487,0.6442,0.0003,0.0417,58
2,24,0.1182,0.0713,0.5451,0.6612,0.0063,0.0268,32
2,25,0.0919,0.029,0.6633,0.7241,0.0005,0.0369,88
2,26,0.1474,0.118,0.4458,0.5028,0.0025,0.0961,2
2,27,0.1582,0.0608,0.1632,0.4512,0.0013,0.0481,10
2,28,0.0949,0.0683,0.7986,0.7256,0.0002,0.0247,75
2,29,0.1091,0.0496,0.5701,0.6396,0.0005,0.0447,49
2,30,0.1003,0.0285,0.5558,0.6715,0.0001,0.0505,65
2,31,0.0713,0.0324,0.8464,0.819,0.0005,0.0265,116
3,0,0.0585,0.0138,0.9962,0.8382,0.0003,0.0084,113
3,1,0.0691,0.021,0.8905,0.8144,0.0013,0.0109,111
3,2,0.1645,0.0606,0.1389,0.481,0.0002,0.0156,42
3,3,0.0829,0.0232,0.775,0.7215,0.0002,0.0112,89
3,4,0.0811,0.0229,0.8107,0.7665,0.0012,0.014,97
3,5,0.134,0.0467,0.235,0.6243,0.0009,0.0092,73
3,6,0.0799,0.0363,0.8017,0.7624,0.0001,0.0143,98
3,7,0.0479,0.0234,0.9669,0.8905,0.0001,0.0102,118
3,8,0.0739,0.0192,0.8935,0.8008,0.0,0.0115,103
3,9,0.0525,0.02,0.9616,0.8605,0.0001,0.0074,118
3,10,0.0485,0.0171,0.9939,0.8863,0.0001,0.012,119
3,11,0.0809,0.0246,0.8309,0.7695,0.0001,0.0133,96
3,12,0.1132,0.0377,0.4385,0.6249,0.001,0.0107,70
3,13,0.0729,0.0211,0.8906,0.7881,0.0,0.0102,105
3,14,0.0385,0.0164,0.9976,0.9101,0.0,0.0097,120
3,15,0.0431,0.0253,0.9481,0.9009,0.0,0.0111,121
3,16,0.065,0.0405,0.8312,0.821,0.0,0.0145,109
3,17,0.0441,0.0185,0.9916,0.9027,0.0,0.0073,119
3,18,0.0634,0.0256,0.8927,0.8292,0.0,0.0082,115
3,19,0.0359,0.0158,0.9964,0.9313,0.0,0.0049,126
3,20,0.0639,0.0423,0.8176,0.8297,0.0003,0.0064,110
3,21,0.0547,0.0346,0.8702,0.8801,0.0008,0.0068,115
3,22,0.0606,0.017,0.9763,0.8284,0.0002,0.0051,100
3,23,0.0615,0.021,0.9499,0.8316,0.0,0.0078,122
3,24,0.06,0.0157,0.9788,0.8657,0.0,0.0073,121
3,25,0.032,0.016,0.9978,0.9508,0.0001,0.0069,127
3,26,0.044,0.0135,0.9995,0.9115,0.0001,0.01,123
3,27,0.0601,0.026,0.9,0.8564,0.0021,0.0084,114
3,28,0.0392,0.0153,0.9989,0.9117,0.0,0.0052,118
3,29,0.0389,0.0154,0.9947,0.9216,0.0001,0.0048,122
3,30,0.1038,0.0338,0.5084,0.6391,0.0004,0.0069,65
3,31,0.0641,0.0245,0.9046,0.8161,0.0,0.0089,108
4,0,0.088,0.0298,0.6702,0.755,0.0009,0.0224,83
4,1,0.1256,0.0302,0.1953,0.5211,0.0001,0.0341,29
4,2,0.0997,0.0462,0.6224,0.6892,0.0001,0.018,70
4,3,0.1588,0.0408,0.0659,0.409,0.0004,0.0682,14
4,4,0.1165,0.0452,0.4819,0.618,0.0004,0.0143,50
4,5,0.092,0.024,0.6543,0.7184,0.0002,0.014,74
4,6,0.0909,0.0445,0.6837,0.7333,0.0004,0.0323,82
4,7,0.089,0.0358,0.7018,0.7274,0.0002,0.0159,83
4,8,0.1159,0.0601,0.5439,0.6274,0.0002,0.0292,37
4,9,0.142,0.0406,0.1475,0.4682,0.0002,0.0361,32
4,10,0.1118,0.0385,0.4336,0.6217,0.0006,0.0179,62
4,11,0.0855,0.0271,0.7409,0.7329,0.0001,0.0199,93
4,12,0.1071,0.0426,0.5147,0.655,0.0003,0.0106,54
4,13,0.139,0.052,0.2703,0.53,0.0004,0.0258,35
4,14,0.1151,0.0511,0.4943,0.6194,0.0002,0.0133,48
4,15,0.0954,0.0581,0.7198,0.6955,0.0001,0.033,78
4,16,0.1673,0.0673,0.085,0.409,0.0004,0.0215,38
4,17,0.135,0.0267,0.0766,0.4841,0.0,0.0162,41
4,18,0.1204,0.0251,0.2076,0.5385,0.0,0.0141,43
4,19,0.1256,0.0459,0.3133,0.5127,0.0,0.0098,42
4,20,0.1857,0.0591,0.0584,0.3405,0.0,0.0166,31
4,21,0.2618,0.0652,0.0033,0.2512,0.0043,0.0046,13
4,22,0.1668,0.0474,0.0583,0.5162,0.0039,0.0109,58
4,23,0.1039,0.0434,0.5572,0.6125,0.0,0.0125,62
4,24,0.1064,0.0244,0.4347,0.6229,0.0,0.0093,67
4,25,0.113,0.0289,0.3618,0.6196,0.0004,0.0154,74
4,26,0.1566,0.0493,0.1244,0.4635,0.0001,0.0115,40
4,27,0.2977,0.0386,0.0,0.1583,0.0107,0.1046,0
4,28,0.1417,0.0271,0.0593,0.5103,0.0001,0.0151,52
4,29,0.1791,0.0278,0.0098,0.4593,0.0013,0.0183,48
4,30,0.1804,0.0401,0.0169,0.4489,0.0006,0.0179,46
4,31,0.1507,0.0193,0.0209,0.6221,0.0094,0.003,74
5,0,0.1986,0.1007,0.1247,0.268,0.0002,0.0315,5
5,1,0.1079,0.0369,0.4934,0.6469,0.0001,0.0359,71
5,2,0.1535,0.1107,0.4169,0.4847,0.0009,0.0512,8
5,3,0.1849,0.0828,0.1619,0.3635,0.0004,0.0249,11
5,4,0.2326,0.0928,0.0278,0.1842,0.0003,0.0616,4
5,5,0.1384,0.0639,0.3135,0.5097,0.0002,0.0405,28
5,6,0.094,0.0541,0.6689,0.7157,0.0005,0.0257,73
5,7,0.1238,0.0381,0.3004,0.6075,0.0003,0.0337,64
5,8,0.2266,0.0451,0.0,0.1078,0.0001,0.0805,3
5,9,0.1171,0.0645,0.5064,0.6397,0.0008,0.0212,32
5,10,0.282,0.069,0.0016,0.1495,0.0031,0.0452,2
5,11,0.1879,0.0561,0.0333,0.3143,0.0002,0.0329,12
5,12,0.1622,0.0457,0.0795,0.478,0.001,0.0316,41
5,13,0.1321,0.0371,0.1915,0.5103,0.0002,0.0668,18
5,14,0.2159,0.1008,0.0864,0.2506,0.0003,0.0337,6
5,15,0.1812,0.0548,0.0658,0.3583,0.0006,0.0772,4
5,16,0.1228,0.0421,0.3283,0.5657,0.0001,0.0087,52
5,17,0.2462,0.0388,0.0,0.2361,0.0065,0.0336,18
5,18,0.0804,0.021,0.8184,0.7819,0.0006,0.0066,102
5,19,0.1258,0.042,0.3015,0.5815,0.0004,0.0133,43
5,20,0.0887,0.0274,0.7685,0.7345,0.0004,0.0075,84
5,21,0.0712,0.0241,0.8839,0.8035,0.0005,0.0133,104
5,22,0.0773,0.0361,0.8304,0.7703,0.0,0.0104,99
5,23,0.0927,0.0224,0.7084,0.6983,0.0001,0.0153,76
5,24,0.0722,0.0229,0.8905,0.7976,0.0003,0.0099,100
5,25,0.1004,0.0397,0.6401,0.6817,0.0,0.0183,74
5,26,0.111,0.0454,0.5328,0.6555,0.0007,0.0102,71
5,27,0.0682,0.0173,0.9438,0.8266,0.0006,0.0122,109
5,28,0.0698,0.0192,0.9171,0.808,0.001,0.0092,102
5,29,0.1106,0.0372,0.4802,0.6358,0.0004,0.0149,59
5,30,0.3303,0.0677,0.0001,0.1729,0.0075,0.0502,13
5,31,0.0713,0.0171,0.9364,0.8104,0.0004,0.0123,104
6,0,0.1782,0.0446,0.0068,0.3491,0.0001,0.0151,32
6,1,0.1108,0.0317,0.43,0.5574,0.0001,0.0218,32
6,2,0.1788,0.059,0.0636,0.3434,0.0001,0.0199,20
6,3,0.1975,0.0404,0.004,0.2732,0.0004,0.0254,7
6,4,0.1226,0.0298,0.2396,0.5062,0.0001,0.0097,30
6,5,0.1922,0.0844,0.072,0.3037,0.0001,0.0352,12
6,6,0.1429,0.0855,0.3945,0.5061,0.0001,0.0178,33
